długość fali [nm] - 1) P=637,9uW	natężenie, jednostki umowne - 1) P=637,9uW	długość fali [nm] - 2) P=1,844mW	natężenie, jednostki umowne - 2) P=1,844mW	długość fali [nm] - 3) P=3,451mW	natężenie, jednostki umowne - 3) P=3,451mW	długość fali [nm] - 4) P=5,397mW	natężenie, jednostki umowne - 4) P=5,397mW	długość fali [nm] - 5) P=7,643mW	natężenie, jednostki umowne - 5) P=7,643mW	długość fali [nm] - 6) P=10,16mW	natężenie, jednostki umowne - 6) P=10,16mW	długość fali [nm] - 7) P=12,93mW	natężenie, jednostki umowne - 7) P=12,93mW	długość fali [nm] - 8) P=15,95mW	natężenie, jednostki umowne - 8) P=15,95mW	
400	1,95072	400	40,431	400	9,09213	400	18,5869	400	92,197	400	112,901	400	245,026	400	369,272	
401	10,4158	401	42,1593	401	23,9689	401	23,8808	401	76,5713	401	144,504	401	237,227	401	381,283	
402	4,05112	402	16,4838	402	38,77	402	35,2963	402	91,1557	402	117,604	402	233,978	402	372,157	
403	49,007	403	44,0902	403	16,4159	403	44,0667	403	82,0012	403	148,863	403	260,407	403	393,729	
404	24,999	404	6,40599	404	32,9624	404	35,6541	404	56,3097	404	137,451	404	227,818	404	378,125	
405	43,8462	405	35,9208	405	5,76392	405	25,3689	405	83,0739	405	158,874	405	235,642	405	382,308	
406	5,49158	406	38,6658	406	48,784	406	30,1167	406	97,9855	406	123,211	406	261,633	406	401,172	
407	6,83767	407	47,8864	407	42,8288	407	57,0327	407	60,5365	407	155,589	407	255,265	407	399,22	
408	10,0692	408	16,8002	408	42,1891	408	55,0931	408	53,7027	408	123,524	408	265,399	408	419,538	
409	17,2837	409	4,99547	409	35,368	409	56,972	409	94,2499	409	164,797	409	261,509	409	448,745	
410	26,3895	410	47,7874	410	35,6322	410	32,6493	410	72,6515	410	137,921	410	261,557	410	440,201	
411	34,0323	411	46,4114	411	19,7871	411	42,9611	411	53,7832	411	127,038	411	256,852	411	415,342	
412	23,3682	412	4,60528	412	12,8498	412	62,9171	412	91,251	412	141,191	412	288,595	412	453,076	
413	1,71731	413	28,1945	413	22,6553	413	19,9838	413	102,807	413	131,535	413	263,957	413	435,655	
414	21,0539	414	25,6576	414	8,15384	414	36,6089	414	79,7509	414	168,554	414	254,292	414	428,468	
415	29,0972	415	44,4329	415	15,6686	415	57,2055	415	74,1702	415	171,674	415	262,201	415	471,819	
416	40,9927	416	25,1115	416	35,963	416	25,9809	416	84,7867	416	152,795	416	282,091	416	458,421	
417	10,2839	417	0,881641	417	48,2956	417	43,9628	417	63,431	417	151,629	417	296,045	417	489,336	
418	11,144	418	0,36628	418	22,0453	418	54,9336	418	66,4861	418	151,73	418	283,183	418	458,304	
419	1,50699	419	16,5596	419	43,2516	419	60,5439	419	82,7529	419	158,734	419	276,999	419	490,807	
420	40,6163	420	49,8582	420	8,39272	420	60,152	420	72,7203	420	139,929	420	295,478	420	490,135	
421	19,173	421	24,0114	421	15,2478	421	61,3919	421	65,0311	421	151,293	421	273,735	421	511,684	
422	30,267	422	22,3885	422	8,93656	422	33,3161	422	77,4146	422	189,053	422	285,837	422	510,981	
423	4,6766	423	3,62721	423	28,6541	423	37,109	423	77,8656	423	168,155	423	299,909	423	476,527	
424	19,4827	424	46,139	424	43,8232	424	42,3065	424	104,145	424	155,321	424	289,546	424	523,333	
425	29,2583	425	21,9234	425	50,8708	425	70,484	425	95,3446	425	165,909	425	298,011	425	502,97	
426	3,80874	426	8,14057	426	20,4857	426	35,7143	426	82,4867	426	199,54	426	318,843	426	534,234	
427	40,9533	427	40,3697	427	36,6127	427	60,3331	427	101,288	427	197,131	427	302,167	427	536,052	
428	12,2292	428	47,8057	428	34,5612	428	42,8792	428	87,7564	428	181,354	428	324,862	428	502,052	
429	18,8145	429	2,69639	429	47,4391	429	30,7873	429	106,67	429	194,288	429	329,578	429	531,747	
430	28,1823	430	14,9217	430	7,78448	430	64,4785	430	77,2157	430	205,636	430	323,259	430	547,887	
431	33,5471	431	46,5521	431	9,75047	431	37,0295	431	111,692	431	209,149	431	319,168	431	521,513	
432	11,3596	432	40,9157	432	49,3348	432	42,724	432	92,9003	432	179,394	432	338,76	432	551,623	
433	24,4975	433	34,936	433	19,2314	433	42,3583	433	120,789	433	167,004	433	332,204	433	532,458	
434	48,5137	434	47,0037	434	53,3693	434	58,7031	434	109,56	434	212,559	434	324,213	434	556,171	
435	38,1895	435	8,68008	435	48,3618	435	65,2408	435	81,7347	435	180,466	435	350,559	435	549,596	
436	44,4655	436	8,54413	436	29,0373	436	62,3715	436	92,2705	436	206,789	436	369,7	436	550,583	
437	22,7931	437	3,43446	437	33,8962	437	46,4638	437	84,674	437	196,341	437	335,511	437	595,834	
438	22,6884	438	37,4167	438	26,8611	438	53,0539	438	106,951	438	209,506	438	371,344	438	558,836	
439	42,6103	439	30,0402	439	29,4487	439	61,6343	439	116,06	439	190,666	439	363,672	439	575,566	
440	22,0855	440	20,5018	440	55,1636	440	54,7124	440	132,958	440	186,429	440	343,938	440	574,54	
441	42,6056	441	25,6348	441	14,1226	441	72,3225	441	121,215	441	232,193	441	388,343	441	591,896	
442	48,1805	442	14,8111	442	43,7777	442	74,4759	442	101,143	442	197,25	442	386,214	442	590,049	
443	10,8241	443	15,1828	443	49,2803	443	56,1145	443	117,616	443	214,04	443	353,934	443	598,829	
444	41,8088	444	42,4398	444	27,4274	444	54,1004	444	105,431	444	218,975	444	370,062	444	607,198	
445	3,70236	445	25,8883	445	45,3809	445	65,1065	445	104,276	445	231,691	445	374,118	445	639,75	
446	43,3414	446	3,036	446	35,129	446	46,0625	446	95,0116	446	219,448	446	377,709	446	615,942	
447	5,9759	447	21,7653	447	53,9183	447	65,416	447	95,5699	447	235,766	447	383,352	447	627,476	
448	12,5025	448	16,1886	448	39,9045	448	42,973	448	107,67	448	213,526	448	395,904	448	619,418	
449	28,6521	449	46,0097	449	22,9564	449	71,8931	449	132,003	449	210,728	449	382,388	449	670,523	
450	44,9154	450	31,0428	450	55,8611	450	83,8868	450	98,8891	450	222,479	450	415,206	450	630,625	
451	18,6193	451	14,391	451	52,4754	451	55,0706	451	143,13	451	247,395	451	394,024	451	674,817	
452	26,1534	452	50,8149	452	44,0947	452	41,6068	452	137,875	452	243,767	452	410,5	452	677,165	
453	14,28	453	30,8974	453	42,661	453	75,7453	453	142,217	453	241,644	453	429,474	453	687,826	
454	2,07958	454	37,1677	454	8,82526	454	73,6504	454	148,916	454	231,604	454	407,008	454	651,796	
455	3,34769	455	42,2941	455	56,4613	455	37,7329	455	130,584	455	252,921	455	430,948	455	672,433	
456	22,5761	456	6,43286	456	11,5384	456	80,4025	456	138,976	456	234,596	456	444,173	456	705,58	
457	13,65	457	3,8495	457	45,4388	457	44,6148	457	139,609	457	230,756	457	453,049	457	691,165	
458	24,2286	458	38,0942	458	26,5555	458	57,2151	458	128,254	458	257,864	458	450,788	458	708,698	
459	2,15075	459	47,2697	459	24,3758	459	80,7456	459	134,408	459	268,086	459	432,312	459	694,398	
460	25,1465	460	25,9844	460	27,2494	460	78,4967	460	112,253	460	237,604	460	438,143	460	698,344	
461	39,9697	461	43,3924	461	48,865	461	72,0569	461	121,888	461	277,826	461	470,849	461	735,089	
462	33,5119	462	25,9782	462	23,5246	462	56,5056	462	112,959	462	240,336	462	452,515	462	739,742	
463	8,1853	463	38,7002	463	11,9623	463	48,1188	463	130,329	463	247,976	463	442,668	463	726,32	
464	26,6469	464	22,3535	464	26,8311	464	65,4772	464	117,449	464	254,466	464	468,201	464	758,204	
465	2,85883	465	37,836	465	25,7638	465	67,9996	465	119,49	465	286,617	465	472,736	465	760,432	
466	46,223	466	49,0545	466	14,8078	466	90,2281	466	134,138	466	290,214	466	474,705	466	766,807	
