T [K] - Wyniki	P [W] - Wyniki	T [K] - Krzywa dopasowania	P [W] - Krzywa dopasowania	
1534,38	0,000637894	1534,38	0,00063134	
2008,37	0,00184363	1535,38	0,000632976	
2353,25	0,00345142	1536,38	0,000634614	
2634,24	0,00539722	1537,38	0,000636256	
2875,63	0,00764281	1538,38	0,0006379	
3089,51	0,0101618	1539,38	0,000639548	
3282,94	0,0129345	1540,38	0,000641199	
3460,41	0,0159453	1541,38	0,000642853	
		1542,38	0,000644511	
		1543,38	0,000646171	
		1544,38	0,000647835	
		1545,38	0,000649502	
		1546,38	0,000651173	
		1547,38	0,000652846	
		1548,38	0,000654523	
		1549,38	0,000656203	
		1550,38	0,000657886	
		1551,38	0,000659572	
		1552,38	0,000661262	
		1553,38	0,000662954	
		1554,38	0,00066465	
		1555,38	0,00066635	
		1556,38	0,000668052	
		1557,38	0,000669758	
		1558,38	0,000671467	
		1559,38	0,000673179	
		1560,38	0,000674895	
		1561,38	0,000676614	
		1562,38	0,000678336	
		1563,38	0,000680061	
		1564,38	0,00068179	
		1565,38	0,000683522	
		1566,38	0,000685257	
		1567,38	0,000686996	
		1568,38	0,000688738	
		1569,38	0,000690483	
		1570,38	0,000692231	
		1571,38	0,000693983	
		1572,38	0,000695738	
		1573,38	0,000697496	
		1574,38	0,000699258	
		1575,38	0,000701023	
		1576,38	0,000702791	
		1577,38	0,000704563	
		1578,38	0,000706338	
		1579,38	0,000708117	
		1580,38	0,000709898	
		1581,38	0,000711683	
		1582,38	0,000713472	
		1583,38	0,000715264	
		1584,38	0,000717059	
		1585,38	0,000718857	
		1586,38	0,000720659	
		1587,38	0,000722464	
		1588,38	0,000724273	
		1589,38	0,000726085	
		1590,38	0,000727901	
		1591,38	0,000729719	
		1592,38	0,000731542	
		1593,38	0,000733367	
		1594,38	0,000735196	
		1595,38	0,000737029	
		1596,38	0,000738865	
		1597,38	0,000740704	
		1598,38	0,000742547	
		1599,38	0,000744393	
		1600,38	0,000746242	
		1601,38	0,000748095	
		1602,38	0,000749952	
		1603,38	0,000751812	
		1604,38	0,000753675	
		1605,38	0,000755542	
		1606,38	0,000757412	
		1607,38	0,000759286	
		1608,38	0,000761163	
